"","Site","station","deployment","Camera.Number","Date","Time","Calibration","Notes..e.g..relocated.camera..habitat.type..tree.no..ect..","Latitude","Longitude","Start.date","End.Date"
"1","Bushy Park ",1,"S01","BTC5HDPX_2688x1512","22/04/2022","13:09","Yes","On wooden tree guard close to houses",51.40703,-0.33821,"22/04/2022","12/5/2022"
"2","Bushy Park ",2,"S02","BTC5HDPX_2688x1512","22/04/2022","12:22","Yes","Attached to wood guard rail on tree near OG point ",51.41007,-0.34588,"22/04/2022","16/05/2022"
"3","Bushy Park ",3,"S03","BTC5HDPX_2688x1512","22/04/2022","14:00","Yes","Closest tree to OG location ",51.41132,-0.3437,"22/04/2022","16/05/2022"
"4","Bushy Park ",4,"S04","BTC5HDPX_2688x1512","22/04/2022","12:30","Yes","There are no notes written but OG cam location looks ok on map",51.41137,-0.33665,"22/04/2022","16/05/2022"
"5","Bushy Park ",5,"S05","BTC5HDPX_2688x1512","22/04/2022","13:15","Yes","Relocated to tree in cage on the edge of the open grass area where OG point was. Other style of coords (TQ 1694169525/2m), so new point is a guess ",51.41064,-0.32087,"22/04/2022","17/05/2022"
"6","Bushy Park ",6,"S06","BTC5HDPX_2688x1512","22/04/2022","11:45","Yes","Relocated to area facing path on riverside ",51.41284,-0.34835,"22/04/2022","16/05/2022"
"7","Bushy Park ",7,"S07","BTC5HDPX_2688x1512","22/04/2022","11:22","Yes","Relocated to a medium tree (Coords are close to OG points but cam may be in a different spot near by). ",51.41277,-0.34574,"22/04/2022","16/05/2022"
"8","Bushy Park ",8,"S08","BTC5HDPX_2688x1512","22/04/2022","11:55","Yes","Placed on tree by foot bridge ",51.41295,-0.33232,"22/04/2022","16/05/2022"
"9","Bushy Park ",9,"S09","BTC5HDPX_2688x1512","22/04/2022","12:40","Yes","SSW of OG point on young tree facing North and stream. ",51.41401,-0.34826,"22/04/2022","16/05/2022"
"10","Bushy Park ",10,"S10","BTC5HDPX_2688x1512","22/04/2022","14:19","Yes","Relocated on the fence around the tree facing the road and house ",51.41456,-0.34388,"22/04/2022","16/05/2022"
"11","Bushy Park ",11,"S11","BTC5HDPX_2688x1512","22/04/2022","12:15","Yes","Moved slightly as OG was in public view ",51.41423,-0.33665,"22/04/2022","16/05/2022"
"12","Bushy Park ",12,"S12","BTC5HDPX_2688x1512","22/04/2022","12:55","Yes","Tree near OG point? Notes are not clear ",51.41434,-0.32997,"22/04/2022","9/5/2022"
"13","Bushy Park ",13,"S13","BTC5HDPX_2688x1512","22/04/2022","12:22","Yes","Small tree away from path ",51.41424,-0.3278,"22/04/2022","16/05/2022"
"14","Bushy Park ",14,"S14","BTC5HDPX_2688x1512","22/04/2022","13:45","Yes","Tree and tree cage. Notes say 'North of Melenium Plantation, perimeter of wall of Hampton Wick Gate.'",51.41416,-0.31844,"22/04/2022","16/05/2022"
"15","Bushy Park ",15,"S15","BTC5HDPX_2688x1512","22/04/2022","11:58","Yes","Relocated see coords ",51.41561,-0.35068,"22/04/2022","13/05/2022"
"16","Bushy Park ",16,"S16","BTC5HDPX_2688x1512","22/04/2022","11:42","Yes","Relocated see coords ",51.41587,-0.3479,"22/04/2022","16/05/2022"
"17","Bushy Park ",17,"S17","BTC5HDPX_2688x1512","22/04/2022","12:05","Yes","On tree guard ",51.41566,-0.33436,"22/04/2022","16/05/2022"
"18","Bushy Park ",18,"S18","BTC5HDPX_2688x1512","22/04/2022","12:45","Yes","Placed left of path, no new coordinates recorded",51.41568,-0.33003,"22/04/2022","15/05/2022"
"19","Bushy Park ",19,"S19","BTC5HDPX_2688x1512","22/04/2022","12:50","Yes","Notes difficult to read- OG point, cam might be in tree near by; Cam number also might be LHW 22 or 20",51.41566,-0.32521,"22/04/2022","16/05/2022"
"20","Bushy Park ",20,"S20","BTC5HDPX_2688x1512","22/04/2022","12:10","Yes","On small tree facing north perimeter fence, next to big tree trunk",51.41707,-0.35247,"22/04/2022","16/05/2022"
"21","Bushy Park ",21,"S21","BTC5HDPX_2688x1512","22/04/2022","12:25","Yes","Near OG point, cleared dry grass away from camera ",51.41709,-0.3458,"30/04/2022","16/05/2022"
"22","Bushy Park ",22,"S22","BTC5HDPX_2688x1512","22/04/2022","13:10","Yes","On tree fence ",51.41709,-0.34123,"22/04/2022","16/05/2022"
"23","Bushy Park ",23,"S23","BTC5HDPX_2688x1512","22/04/2022","13:25","Yes","Relocated to park pathway fence near the road (Coords are close to OG points but cam may be in a different spot near by). ",51.41731,-0.33771,"22/04/2022","19/05/2022"
"24","Bushy Park ",24,"S24","BTC5HDPX_2688x1512","22/04/2022","11:26","Yes","On Crate, Relocated see coords; Recalibrated ",51.41703,-0.33407,"22/04/2022","16/05/2022"
"25","Bushy Park ",25,"S25","BTC5HDPX_2688x1512","22/04/2022","13:30","Yes","On Tree, Relocated see coords",51.41709,-0.33207,"22/04/2022","16/05/2022"
"26","Bushy Park ",26,"S26","BTC5HDPX_2688x1512","22/04/2022","13:40","Yes","On Crate, Relocated see coords",51.41709,-0.32978,"22/04/2022","16/05/2022"
"27","Bushy Park ",27,"S27","BTC5HDPX_2688x1512","22/04/2022","12:40","Yes","Ok tree",51.41709,-0.32292,"22/04/2022","16/05/2022"
"28","Bushy Park ",28,"S28","BTC5HDPX_2688x1512","22/04/2022","12:26","Yes","Relocated as trees were too large for cam ",51.41849,-0.35139,"22/04/2022","16/05/2022"
