 ,dir,folder,image_name,x,y,frame_number,sequence_id,sequence_id_original,number_of_points,name,height,DateTimeOriginal,ImageWidth,ImageHeight,Station,deployment,species,count,contact,radius,angle,frame_count,pixdiff,dist,timediff,time,speed,frames,time,hour,minute,second
9,C:/Users/Kong/OneDrive - Imperial College London/Project/Survey_yyy/Deployments/S01,S01,IMG_7076.JPG,1360.711987,936.4679808,9,16,16,2,Hedgehog,NA,2022:04:27 01:30:33,2688,1512,S01,S01,hedgehog,1,1,2.328039356,0.004812237,1,430.3600881,0.287123059,21,21,0.013672527,2,1:30:33,1,30,3
11,C:/Users/Kong/OneDrive - Imperial College London/Project/Survey_yyy/Deployments/S01,S01,IMG_7090.JPG,1185.007712,643.0938539,11,17,17,2,Hedgehog,NA,2022:04:27 01:32:06,2688,1512,S01,S01,hedgehog,1,1,4.613379004,-0.045782025,1,89.51413237,0.21615095,2,2,0.108075475,2,1:32:06,1,32,6
21,C:/Users/Kong/OneDrive - Imperial College London/Project/Survey_yyy/Deployments/S02,S02,IMG_2144.JPG,301.3513151,750.1808046,0,46,0,11,Hedgehog,NA,2022:04:29 22:53:17,2688,1512,S02,S02,hedgehog,1,1,4.008774677,-0.300231973,1,2584.287993,5.403804501,18,18,0.300211361,12,22:53:17,22,53,17
43,C:/Users/Kong/OneDrive - Imperial College London/Project/Survey_yyy/Deployments/S03,S03,IMG_1599.JPG,2038.945978,939.6069792,0,82,0,2,Hedgehog,NA,2022:04:23 02:29:46,2688,1512,S03,S03,hedgehog,1,1,4.495402485,0.20011055,1,685.8336095,1.826994615,4,4,0.456748654,2,2:29:46,2,29,46
51,C:/Users/Kong/OneDrive - Imperial College London/Project/Survey_yyy/Deployments/S04,S04,IMG_2081.JPG,140.0228852,943.5542676,0,95,0,3,Hedgehog,NA,2022:05:10 00:23:56,2688,1512,S04,S04,hedgehog,1,1,1.404521679,-0.346686693,1,243.8175295,0.370158303,2,2,0.185079152,3,0:23:56,0,23,56
58,C:/Users/Kong/OneDrive - Imperial College London/Project/Survey_yyy/Deployments/S05,S05,IMG_3374.JPG,425.4623037,988.1794543,0,104,0,3,Hedgehog,NA,2022:05:04 23:40:06,2688,1512,S05,S05,hedgehog,1,1,1.605029659,-0.264494061,1,229.5256768,0.469391522,2,2,0.234695761,3,23:40:06,23,40,6
67,C:/Users/Kong/OneDrive - Imperial College London/Project/Survey_yyy/Deployments/S06,S06,IMG_0369.JPG,1215.163308,946.7169837,0,126,0,4,Hedgehog,NA,2022:04:23 02:32:58,2688,1512,S06,S06,hedgehog,1,1,4.603853866,-0.037098684,1,564.435019,1.426489427,16,16,0.089155589,4,2:32:58,2,32,58
74,C:/Users/Kong/OneDrive - Imperial College London/Project/Survey_yyy/Deployments/S07,S07,IMG_3759.JPG,975.480057,607.6862156,0,133,6,11,Hedgehog,NA,2022:05:12 23:30:01,2688,1512,S07,S07,hedgehog,1,1,4.416137103,-0.106115771,1,1532.509751,4.223024109,12,12,0.351918676,11,23:30:01,23,30,1
85,C:/Users/Kong/OneDrive - Imperial College London/Project/Survey_yyy/Deployments/S07,S07,IMG_3934.JPG,1117.852268,580.1859271,0,134,7,4,Hedgehog,NA,2022:05:13 21:11:37,2688,1512,S07,S07,hedgehog,1,1,5.553593468,-0.065119518,1,1012.145963,3.012404517,3,3,1.004134839,4,21:11:37,21,11,37
94,C:/Users/Kong/OneDrive - Imperial College London/Project/Survey_yyy/Deployments/S08,S08,IMG_1565.JPG,73.80872302,894.3760124,0,145,0,8,Hedgehog,NA,2022:05:04 01:23:44,2736,1520,S08,S08,hedgehog,1,1,1.730845677,-0.366126008,1,2379.364322,1.66309951,10,10,0.166309951,8,1:23:44,1,23,44
